"timestamp","system_time","lat","lon","speed","bearing","provider"
"1558635815000","1558635813992","43.00806701","-78.77406066","6.25","117.8","gps"
"1558635816000","1558635815001","43.00805962","-78.77402534","4.0","114.1","gps"
"1558635817000","1558635815995","43.00805136","-78.7739934","1.75","116.3","gps"
"1558635818000","1558635816985","43.00804426","-78.77397379","1.75","116.3","gps"
"1558635819000","1558635817992","43.00805498","-78.77397568","0.0","0.0","gps"
"1558635881000","1558635879993","43.0080492","-78.77395522","3.75","110.9","gps"
"1558635882000","1558635880994","43.00802534","-78.77388872","5.0","111.6","gps"
"1558635883000","1558635882005","43.00801286","-78.77382204","6.0","111.9","gps"
"1558635884000","1558635882990","43.00798919","-78.77374366","6.75","113.9","gps"
"1558635885000","1558635883992","43.0079608","-78.77365536","8.0","112.6","gps"
"1558635886000","1558635884991","43.00793121","-78.77354449","9.75","113.0","gps"
"1558635887000","1558635885985","43.00789718","-78.77343545","9.75","113.0","gps"
"1558635888000","1558635886992","43.00785874","-78.77328982","11.75","112.9","gps"
"1558635889000","1558635887987","43.00781675","-78.77315421","11.75","112.9","gps"
"1558635890000","1558635888999","43.00776763","-78.7729913","13.5","112.5","gps"
"1558635891000","1558635889993","43.00772116","-78.77283269","14.0","112.5","gps"
"1558635892000","1558635890993","43.00767489","-78.77266636","14.25","111.5","gps"
"1558635893000","1558635891995","43.0076284","-78.77249705","14.75","111.3","gps"
"1558635894000","1558635892992","43.00757351","-78.77233604","15.0","112.0","gps"
"1558635895000","1558635893993","43.00751894","-78.77216505","15.5","112.5","gps"
"1558635896000","1558635894992","43.00746846","-78.77199115","15.25","113.6","gps"
"1558635897000","1558635895987","43.00741175","-78.77181467","15.25","113.6","gps"
"1558635898000","1558635896993","43.00737298","-78.77166308","15.0","113.2","gps"
"1558635899000","1558635897990","43.00733915","-78.77150133","14.25","112.5","gps"
"1558635900000","1558635898985","43.00728855","-78.77133508","14.25","112.5","gps"
"1558635901000","1558635899993","43.00721554","-78.77118149","14.5","113.2","gps"
"1558635902000","1558635900992","43.00717038","-78.77102913","14.75","112.5","gps"
"1558635903000","1558635901992","43.00711457","-78.77085404","14.75","113.2","gps"
"1558635904000","1558635902991","43.00706422","-78.77068662","14.75","112.7","gps"
"1558635905000","1558635903992","43.00701015","-78.77050894","15.0","112.7","gps"
"1558635906000","1558635904984","43.00695824","-78.77033949","15.0","112.7","gps"
"1558635907000","1558635905990","43.00691083","-78.77017432","15.5","113.2","gps"
"1558635908000","1558635906991","43.00685469","-78.77000036","14.75","113.0","gps"
"1558635909000","1558635907993","43.00680668","-78.76984823","14.25","112.6","gps"
"1558635910000","1558635908992","43.00676274","-78.76968846","14.25","111.9","gps"
"1558635911000","1558635909992","43.00671708","-78.76951074","14.0","110.9","gps"
"1558635912000","1558635910994","43.00667034","-78.76934687","14.0","110.6","gps"
"1558635913000","1558635911988","43.00662521","-78.7691831","14.0","110.6","gps"
"1558635914000","1558635912992","43.00659084","-78.76903498","13.5","108.2","gps"
"1558635915000","1558635913984","43.00655289","-78.7688777","13.5","108.2","gps"
"1558635916000","1558635914986","43.0065519","-78.76875731","12.75","102.4","gps"
"1558635917000","1558635915987","43.00651728","-78.76858327","13.0","101.2","gps"
"1558635918000","1558635916987","43.00650623","-78.7684392","12.5","96.3","gps"
"1558635919000","1558635917986","43.00649988","-78.76826769","13.0","92.8","gps"
"1558635920000","1558635918987","43.00650949","-78.76812862","13.5","89.9","gps"
"1558635921000","1558635919985","43.00652777","-78.7679393","14.0","87.8","gps"
"1558635922000","1558635920991","43.00652123","-78.76773382","15.0","85.1","gps"
"1558635923000","1558635921999","43.00653643","-78.76750656","15.75","82.9","gps"
"1558635924000","1558635922986","43.00655448","-78.76730953","15.75","82.9","gps"
"1558635925000","1558635923994","43.00657622","-78.76712076","16.75","82.9","gps"
"1558635926000","1558635924992","43.00658858","-78.76691636","16.5","83.2","gps"
"1558635927000","1558635925993","43.00660932","-78.76672544","16.0","83.1","gps"
"1558635928000","1558635926988","43.00662419","-78.76654289","15.25","81.9","gps"
"1558635929000","1558635927995","43.00663975","-78.76634925","15.25","84.7","gps"
"1558635930000","1558635928985","43.00664241","-78.76616309","14.5","82.1","gps"
"1558635931000","1558635929987","43.00666315","-78.76599141","14.25","82.9","gps"
"1558635932000","1558635930992","43.00667698","-78.76581035","13.25","82.6","gps"
"1558635933000","1558635931996","43.00668818","-78.76564669","12.75","84.5","gps"
"1558635934000","1558635932994","43.00668811","-78.76551041","11.75","84.6","gps"
"1558635935000","1558635933985","43.00669803","-78.76536662","11.75","84.6","gps"
"1558635936000","1558635934990","43.0066919","-78.76524405","10.0","89.7","gps"
"1558635937000","1558635935993","43.00669352","-78.76512564","9.5","95.0","gps"
"1558635938000","1558635936992","43.00669211","-78.76500484","9.5","98.3","gps"
"1558635939000","1558635937991","43.00666955","-78.76488664","9.75","101.9","gps"
"1558635940000","1558635938996","43.00663494","-78.76475929","10.25","107.1","gps"
"1558635941000","1558635939994","43.00660429","-78.76463699","10.5","109.9","gps"
"1558635942000","1558635940987","43.00657271","-78.76451792","10.5","109.9","gps"
"1558635943000","1558635941993","43.00652211","-78.76441182","10.5","117.7","gps"
"1558635944000","1558635942986","43.00647842","-78.76429819","10.5","117.7","gps"
"1558635945000","1558635943992","43.00640889","-78.76419016","10.5","123.1","gps"
"1558635946000","1558635944986","43.0063573","-78.76408231","10.5","123.1","gps"
"1558635947000","1558635945986","43.00628602","-78.76401043","10.5","133.1","gps"
"1558635948000","1558635946987","43.0062115","-78.76390502","11.0","136.3","gps"
"1558635949000","1558635947987","43.00613501","-78.76381222","10.75","141.0","gps"
"1558635950000","1558635948985","43.0060515","-78.76373109","11.0","146.3","gps"
